,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
425,Pawan Gurnani,Chatbot & Integration Developer,Work from home,3 Months,"₹ 10,000 - 10,001 /month",576 applicants,5 opportunities posted,1 candidate hired,Hiring since January 2025
426,BeyondChats,ReactJS Development,Work from home,5 Months,"₹ 15,000 - 25,000 /month",1000+ applicants,12 opportunities posted,14 candidates hired,Hiring since May 2024
427,Alien Brains Private Limited,JavaScript Development,Work from home,3 Months,"₹ 3,000 - 7,000 /month",855 applicants,11 opportunities posted,N/A,Hiring since November 2018
428,Bridge2job,Software Development,Work from home,3 Months,"₹ 10,000 /month",1000+ applicants,48 opportunities posted,N/A,Hiring since April 2025
429,Cartoq,Junior NextJS Developer,Work from home,3 Months,"₹ 10,000 /month",1000+ applicants,13 opportunities posted,2 candidates hired,Hiring since February 2023
430,Maxgen Technologies Private Limited,MERN Stack Developer,Pune,3 Months,"₹ 7,000 - 12,000 /month",801 applicants,128 opportunities posted,N/A,Hiring since November 2024
433,Senso Vision System,Application Engineer,Bangalore,4 Months,"₹ 5,000 - 10,000 /month",217 applicants,29 opportunities posted,5 candidates hired,Hiring since June 2023
435,RoadMetrics,Data Annotation/Labelling (Computer Vision-Image Data),Bangalore,3 Months,"₹ 15,000 - 20,000 /month",84 applicants,39 opportunities posted,10 candidates hired,Hiring since December 2019
436,WIREDLEAP TECHNOLOGY PRIVATE LIMITED,Machine Learning,Work from home,6 Months,"₹ 15,000 - 20,000 /month",1000+ applicants,4 opportunities posted,N/A,Hiring since February 2025
437,IndicVision Private Limited,Computer Vision,Chennai,6 Months,"₹ 35,000 /month",694 applicants,5 opportunities posted,2 candidates hired,Hiring since June 2024
438,Tutedude,Python Mentorship,Work from home,3 Months,"₹ 7,000 - 8,000 /month",439 applicants,446 opportunities posted,135 candidates hired,Hiring since May 2020
439,Infoware,Data Scraping And Automation,Work from home,3 Months,"₹ 5,000 - 10,000 /month",629 applicants,280 opportunities posted,152 candidates hired,Hiring since March 2020
440,Byteprolabs,Image Processing (Python),Bangalore,3 Months,"₹ 15,000 - 20,000 /month",311 applicants,1 opportunity posted,N/A,Hiring since April 2025
441,Edith Defence Systems Private Limited,Computer Vision,Navi Mumbai,4 Months,"₹ 12,000 - 15,000 /month",553 applicants,33 opportunities posted,16 candidates hired,Hiring since June 2024
